Chr	Mb_NCBI38	cM
UNC1735400	1	135572012	59.1137
UNC12453743	7	16673266	9.152
UNC7278067	4	54528625	29.251
UNC24679491	14	106347532	56.165
JAX00172576	9	69940985	39.0839
UNC140261700	14	72607112	37.685
UNC20395682	11	111695963	75.2769
UNC7966272	4	110344547	51.428
UNC12330302	6	146431212	77.701
UNC18125231	10	65930212	34.702
JAX00507890	2	154016370	76.152
UNC061461502	6	115990424	53.7193
UNC010873548	1	194419062	98.1987
JAX00080059	18	7297940	4.53
UNC18820553	10	118568106	66.746
UNC8326822	4	138359862	70.1929
UNC030162846	3	104230952	45.516
UNC12510248	7	25039788	13.73
UNC18998019	11	4554799	2.944
UNC5648666	3	82118446	35.974
UNC9868457	5	106988956	51.4558
JAX00372157	14	7966922	4.6701
UNC28771428	18	14540946	8.0166
JAX00621600	6	108541078	49.812
UNC17181993	9	115046606	66.6522
UNC25850849	15	71441701	32.192
UNC19182694	11	18053562	10.4927
UNC19332475	11	30211008	17.669
JAX00571637	4	154054281	83.7932
JAX00672096	8	71995569	34.6768
UNC19835870	11	67196921	40.593
UNC25245875	15	27405180	10.1976
UNC28036733	17	54146951	28.1607
JAX00101426	2	148368270	73.4327
UNC120435580	12	107121634	57.849
JAX00036087	12	51849144	22.115
UNC22220550	13	19807361	7.0612
backupUNC040764205	4	87452285	41.044
UNC170285	1	15938033	4.9054
UNC12818926	7	51211901	32.6078
UNC24596365	14	99505108	49.459
UNC24989547	15	7415985	3.6046
UNC23786271	14	30818347	19.086
UNC27329052	16	87580552	49.61
UNC31243837	X	116833883	49.5782
UNC5086382	3	39169765	18.8468
UNC11731557	6	102279575	47.552
UNC010680647	1	193708959	97.936
UNC29343039	18	57973239	32.145
JAX00283724	10	17008030	6.6841
UNC15197987	8	88810952	43.51
JAX00489934	2	55091914	30.9192
UNC040405955	4	86728676	40.687
UNC707616	1	55460572	28.1677
UNC868588	1	68813136	34.3709
UNC20749711	12	25695340	9.176
JAX00536825	3	126208184	55.5884
UNC21796169	12	104540970	54.4847
JAX00123567	4	115707005	53.059
UNC010297799	1	143149795	62.4658
UNC4505844	2	171264407	93.5368
UNC30534808	19	55405002	51.4211
UNC20485201	11	117245764	82.9489
JAX00113791	3	138532017	64.3062
backupJAX00125209	4	138427554	70.2696
UNC19974300	11	79773321	47.0978
UNC15378757	8	101251823	50.074
JAX00610591	6	54365502	26.8972
UNC7039840	4	34508417	16.7707
UNC21858874	12	108618083	59.462
UNC24622281	14	101211838	50.895
backupJAX00050727	14	20351360	11.526
UNC14317306	8	23718442	11.496
UNC30798651	X	48099533	25.5148
UNC20839412	12	31751475	13.6999
UNC9705416	5	93002780	47.291
JAX00049793	14	7705302	4.5312
UNC090025985	9	26307586	10.5929
UNC27143427	16	75645236	43.361
UNC080463080	8	14367142	6.8613
JAX00582322	5	52177386	27.5616
UNC3305161	2	71585594	42.7566
UNC30060865	19	22316196	16.138
UNC11814232	6	108606064	49.812
JAX00414893	16	16970155	10.5204
UNC26566524	16	29571611	20.6291
UNC26572059	16	29972057	21.019
UNC3794787	2	115304132	58.0665
UNC8308485	4	137060211	69.1358
UNC16278770	9	45064611	24.836
UNC19050294	11	9019271	5.7686
UNC4374454	2	162519413	83.0014
UNC498300	1	39714306	18.444
JAX00509082	2	159418450	79.978
JAX00068632	16	40255331	27.6608
UNC6634712	3	159688559	82.5692
UNC12158922	6	135600776	66.279
UNC532412	1	41960821	20.389
UNC15128446	8	83535575	40.218
UNC26044338	15	87156662	41.3796
UNC23683937	14	22099494	12.0712
UNC8149025	4	125311291	58.5192
JAX00179433	X	57884316	32.3196
UNC2404202	1	188859728	93.333
UNC18450758	10	93252661	48.0543
UNC26131039	15	93195599	47.2913
UNC2435079	1	191447434	96.283
backupUNC140281170	14	83493986	43.536
JAX00383596	14	72457750	37.5843
UNC12675446	7	40227756	26.1884
UNC25225629	15	26054020	9.772
UNC31217431	X	112440075	48.758
UNC4365491	2	161938620	82.408
UNC5847927	3	101113305	43.9793
JAX00107359	3	51799537	22.6641
